goos: linux
goarch: amd64
pkg: github.com/StevenPG/demos/go-1-27-json-v2/bench
cpu: Intel(R) Xeon(R) Processor @ 2.10GHz
BenchmarkMarshal/Batch/impl=v1-4         	    1256	    919411 ns/op	 218.93 MB/s	  205604 B/op	       2 allocs/op
BenchmarkMarshal/Batch/impl=v1-4         	    1308	    865656 ns/op	 232.53 MB/s	  205575 B/op	       2 allocs/op
BenchmarkMarshal/Batch/impl=v2-4         	    1200	    897488 ns/op	 224.28 MB/s	  205638 B/op	       2 allocs/op
BenchmarkMarshal/Batch/impl=v2-4         	    1305	    922721 ns/op	 218.15 MB/s	  204881 B/op	       2 allocs/op
BenchmarkMarshal/Batch/impl=v2-4         	    1290	    908314 ns/op	 221.61 MB/s	  205585 B/op	       2 allocs/op
BenchmarkMarshal/Batch/impl=v2-4         	    1286	    895534 ns/op	 224.77 MB/s	  205587 B/op	       2 allocs/op
BenchmarkMarshal/Batch/impl=v2-4         	    1380	    927418 ns/op	 217.04 MB/s	  204881 B/op	       2 allocs/op
BenchmarkMarshal/Batch/impl=v2-4         	    1256	    902402 ns/op	 223.06 MB/s	  205604 B/op	       2 allocs/op
BenchmarkMarshal/Batch/impl=v2-4         	    1237	    932500 ns/op	 215.86 MB/s	  205616 B/op	       2 allocs/op
BenchmarkMarshal/Batch/impl=v2-4         	    1268	    920558 ns/op	 218.66 MB/s	  205598 B/op	       2 allocs/op
BenchmarkMarshal/Batch/impl=v2-4         	    1269	    968237 ns/op	 207.89 MB/s	  204881 B/op	       2 allocs/op
BenchmarkMarshal/Batch/impl=v2-4         	    1294	    951972 ns/op	 211.44 MB/s	  204881 B/op	       2 allocs/op
BenchmarkMarshal/Document/impl=v1-4      	   24061	     48826 ns/op	 485.76 MB/s	   24648 B/op	       2 allocs/op
BenchmarkMarshal/Document/impl=v1-4      	   25344	     48924 ns/op	 484.79 MB/s	   24645 B/op	       2 allocs/op
BenchmarkMarshal/Document/impl=v1-4      	   24750	     48422 ns/op	 489.82 MB/s	   24643 B/op	       2 allocs/op
BenchmarkMarshal/Document/impl=v1-4      	   24195	     49767 ns/op	 476.58 MB/s	   24645 B/op	       2 allocs/op
BenchmarkMarshal/Document/impl=v1-4      	   24223	     48285 ns/op	 491.21 MB/s	   24648 B/op	       2 allocs/op
BenchmarkMarshal/Document/impl=v1-4      	   24445	     48341 ns/op	 490.64 MB/s	   24648 B/op	       2 allocs/op
BenchmarkMarshal/Document/impl=v1-4      	   24410	     49014 ns/op	 483.90 MB/s	   24643 B/op	       2 allocs/op
BenchmarkMarshal/Document/impl=v1-4      	   24784	     47878 ns/op	 495.38 MB/s	   24645 B/op	       2 allocs/op
BenchmarkMarshal/Document/impl=v1-4      	   24963	     48827 ns/op	 485.76 MB/s	   24649 B/op	       2 allocs/op
BenchmarkMarshal/Document/impl=v1-4      	   24558	     49521 ns/op	 478.95 MB/s	   24650 B/op	       2 allocs/op
BenchmarkMarshal/Document/impl=v2-4      	   24073	     50066 ns/op	 473.74 MB/s	   24648 B/op	       2 allocs/op
BenchmarkMarshal/Document/impl=v2-4      	   23754	     50417 ns/op	 470.44 MB/s	   24648 B/op	       2 allocs/op
BenchmarkMarshal/Document/impl=v2-4      	   24055	     52561 ns/op	 451.24 MB/s	   24643 B/op	       2 allocs/op
BenchmarkMarshal/Document/impl=v2-4      	   23838	     48942 ns/op	 484.61 MB/s	   24646 B/op	       2 allocs/op
BenchmarkMarshal/Document/impl=v2-4      	   24091	     48984 ns/op	 484.20 MB/s	   24648 B/op	       2 allocs/op
BenchmarkMarshal/Document/impl=v2-4      	   25006	     47760 ns/op	 496.61 MB/s	   24647 B/op	       2 allocs/op
BenchmarkMarshal/Document/impl=v2-4      	   25322	     48935 ns/op	 484.69 MB/s	   24647 B/op	       2 allocs/op
BenchmarkMarshal/Document/impl=v2-4      	   24412	     48835 ns/op	 485.68 MB/s	   24648 B/op	       2 allocs/op
BenchmarkMarshal/Document/impl=v2-4      	   24235	     48475 ns/op	 489.28 MB/s	   24645 B/op	       2 allocs/op
BenchmarkMarshal/Document/impl=v2-4      	   25341	     47985 ns/op	 494.28 MB/s	   24643 B/op	       2 allocs/op
BenchmarkMarshal/Dynamic/impl=v1-4       	   14149	     84969 ns/op	  56.11 MB/s	   10677 B/op	     404 allocs/op
BenchmarkMarshal/Dynamic/impl=v1-4       	   13981	     85527 ns/op	  55.75 MB/s	   10675 B/op	     404 allocs/op
BenchmarkMarshal/Dynamic/impl=v1-4       	   14073	     85142 ns/op	  56.00 MB/s	   10675 B/op	     404 allocs/op
BenchmarkMarshal/Dynamic/impl=v1-4       	   13796	     86665 ns/op	  55.02 MB/s	   10676 B/op	     404 allocs/op
BenchmarkMarshal/Dynamic/impl=v1-4       	   13755	     86551 ns/op	  55.09 MB/s	   10676 B/op	     404 allocs/op
BenchmarkMarshal/Dynamic/impl=v1-4       	   13658	     87318 ns/op	  54.61 MB/s	   10675 B/op	     404 allocs/op
BenchmarkMarshal/Dynamic/impl=v1-4       	   13766	     87379 ns/op	  54.57 MB/s	   10675 B/op	     404 allocs/op
BenchmarkMarshal/Dynamic/impl=v1-4       	   13944	     86023 ns/op	  55.43 MB/s	   10675 B/op	     404 allocs/op
BenchmarkMarshal/Dynamic/impl=v1-4       	   13684	     86914 ns/op	  54.86 MB/s	   10675 B/op	     404 allocs/op
BenchmarkMarshal/Dynamic/impl=v1-4       	   13743	     86879 ns/op	  54.88 MB/s	   10674 B/op	     404 allocs/op
BenchmarkMarshal/Dynamic/impl=v2-4       	   19738	     60914 ns/op	  78.27 MB/s	    7290 B/op	     204 allocs/op
BenchmarkMarshal/Dynamic/impl=v2-4       	   20008	     58643 ns/op	  81.31 MB/s	    7291 B/op	     204 allocs/op
BenchmarkMarshal/Dynamic/impl=v2-4       	   21139	     56711 ns/op	  84.07 MB/s	    7290 B/op	     204 allocs/op
